利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
6%,1,Smead,"Smead 搁板, 工业",￥110,2016/10/1,中国,中南,郑州,收纳具,秦黎明,0%,8,河南,办公用品,公司,CN-2016-3284718,2016/9/24,标准级,"￥1,845"
2%,1,Harbour Creations,"Harbour Creations 摇椅, 可调",￥28,2016/10/1,中国,中南,郑州,椅子,秦黎明,10%,2,河南,家具,公司,CN-2016-3284718,2016/9/24,标准级,"￥1,256"
2%,1,Safco,"Safco 墙角架, 黑色",￥56,2016/10/1,中国,中南,郑州,书架,秦黎明,0%,4,河南,家具,公司,CN-2016-3284718,2016/9/24,标准级,"￥2,815"
18%,1,佳能,"佳能 复印机, 数字化",￥659,2017/1/12,中国,东北,尚志,复印机,楚松,0%,3,黑龙江,技术,消费者,CN-2017-4794169,2017/1/8,标准级,"￥3,665"
3%,1,Hon,"Hon 电脑桌, 白色",￥92,2017/1/12,中国,东北,尚志,桌子,楚松,25%,2,黑龙江,家具,消费者,CN-2017-4794169,2017/1/8,标准级,"￥3,461"
-62%,1,Acco,"Acco 打孔机, 实惠",-￥468,2016/6/24,中国,东北,大连,装订机,曾康,40%,9,辽宁,办公用品,消费者,US-2016-3420308,2016/6/19,标准级,￥759
12%,1,Sauder,"Sauder 搁架, 传统",￥218,2014/8/17,中国,华东,上海,书架,郝廉,0%,2,上海,家具,消费者,CN-2014-4820840,2014/8/15,二级,"￥1,816"
13%,1,Chromcraft,"Chromcraft 咖啡桌, 组装",￥601,2014/8/21,中国,西北,渭南,桌子,薛立伟,40%,6,陕西,家具,公司,CN-2014-2018203,2014/8/15,标准级,"￥4,512"
26%,1,Hon,"Hon 凳子, 每套两件","￥1,609",2014/8/21,中国,西北,渭南,椅子,薛立伟,0%,8,陕西,家具,公司,CN-2014-2018203,2014/8/15,标准级,"￥6,194"
9%,1,Avery,"Avery 订书机, 回收",￥41,2014/8/21,中国,西北,渭南,装订机,薛立伟,0%,2,陕西,办公用品,公司,CN-2014-2018203,2014/8/15,标准级,￥459
36%,1,Wilson Jones,"Wilson Jones 订书机, 耐用",￥678,2014/8/21,中国,西北,渭南,装订机,薛立伟,0%,8,陕西,办公用品,公司,CN-2014-2018203,2014/8/15,标准级,"￥1,884"
12%,1,施乐,"施乐 备忘录便条, 回收",￥67,2016/8/25,中国,中南,浯溪,纸张,陈霖,0%,9,湖南,办公用品,消费者,CN-2016-2491194,2016/8/23,一级,￥564
18%,1,Wilson Jones,"Wilson Jones 装订机盖, 回收",￥29,2015/3/17,中国,西南,重庆,装订机,常宣,0%,3,重庆,办公用品,消费者,CN-2015-3526566,2015/3/12,标准级,￥162
29%,1,Stanley,"Stanley 荧光笔, 金属",￥108,2015/3/17,中国,西南,重庆,美术,常宣,0%,5,重庆,办公用品,消费者,CN-2015-3526566,2015/3/12,标准级,￥372
6%,1,Fiskars,"Fiskars 尺子, 蓝色",￥16,2017/10/9,中国,华东,上海,用品,曹欢悦,0%,4,上海,办公用品,小型企业,CN-2017-1501002,2017/10/6,一级,￥269
24%,1,SanDisk,"SanDisk 笔记本, 每包 12 个",￥76,2017/10/9,中国,华东,上海,纸张,曹欢悦,0%,2,上海,办公用品,小型企业,CN-2017-1501002,2017/10/6,一级,￥317
26%,1,Green Bar,"Green Bar 令, 优质",￥108,2015/8/25,中国,华东,苏州,纸张,万兰,0%,3,江苏,办公用品,消费者,CN-2015-1511005,2015/8/18,标准级,￥417
-3%,1,Ibico,"Ibico 订书机, 回收",-￥15,2015/8/25,中国,华东,苏州,装订机,万兰,40%,3,江苏,办公用品,消费者,CN-2015-1511005,2015/8/18,标准级,￥435
42%,1,Ames,"Ames 邮寄品, 银色",￥375,2017/2/25,中国,西南,广元,信封,彭伟,0%,5,四川,办公用品,小型企业,US-2017-4420382,2017/2/20,标准级,￥893
-4%,1,Wilson Jones,"Wilson Jones 装订机盖, 耐用",-￥1,2017/2/25,中国,西南,广元,装订机,彭伟,40%,1,四川,办公用品,小型企业,US-2017-4420382,2017/2/20,标准级,￥36
29%,1,Acco,"Acco 装订机, 耐用",￥112,2016/7/28,中国,中南,开封,装订机,林谙,0%,5,河南,办公用品,小型企业,CN-2016-4750815,2016/7/23,标准级,￥389
40%,1,摩托罗拉,"摩托罗拉 信号增强器, 全尺寸","￥1,078",2015/6/17,中国,华东,上海,电话,陈娟,0%,4,上海,技术,消费者,CN-2015-3898543,2015/6/12,标准级,"￥2,696"
0%,1,宜家,"宜家 搁架, 黑色",￥0,2016/9/22,中国,华东,宝应,书架,施旺,40%,4,江苏,家具,消费者,CN-2016-5569894,2016/9/20,一级,"￥1,923"
-15%,1,Harbour Creations,"Harbour Creations 折叠椅, 可调",-￥295,2016/9/22,中国,华东,徐州,椅子,袁岱,40%,7,江苏,家具,小型企业,US-2016-3503696,2016/9/18,标准级,"￥1,967"
7%,1,Hewlett,"Hewlett 个人复印机, 每套两件",￥134,2016/9/22,中国,华东,徐州,复印机,袁岱,40%,5,江苏,技术,小型企业,US-2016-3503696,2016/9/18,标准级,"￥2,020"
22%,1,Rogers,"Rogers 锁柜, 单宽度",￥435,2016/9/22,中国,华东,徐州,收纳具,袁岱,0%,2,江苏,办公用品,小型企业,US-2016-3503696,2016/9/18,标准级,"￥1,975"
37%,1,Sanford,"Sanford 铅笔刀, 金属",￥234,2016/10/5,中国,华北,保定,美术,白欢,0%,5,河北,办公用品,小型企业,CN-2016-4373153,2016/10/3,一级,￥632
14%,1,Harbour Creations,"Harbour Creations 折叠椅, 黑色",￥312,2016/10/5,中国,华北,保定,椅子,白欢,0%,5,河北,家具,小型企业,CN-2016-4373153,2016/10/3,一级,"￥2,227"
4%,1,Office Star,"Office Star 扶手椅, 每套两件",￥175,2015/5/22,中国,中南,安阳,椅子,吕君,10%,2,河南,家具,消费者,CN-2015-5598912,2015/5/18,标准级,"￥3,945"
47%,1,Rubbermaid,"Rubvermaid 灯泡, 优质",￥382,2015/5/22,中国,中南,安阳,用具,吕君,0%,10,河南,家具,消费者,CN-2015-5598912,2015/5/18,标准级,￥815
37%,1,Office Star,"Office Star 摇椅, 可调",￥221,2016/12/28,中国,中南,东海,椅子,叶莲,10%,1,广东,家具,消费者,CN-2016-3200743,2016/12/23,标准级,￥602
10%,1,Wilson Jones,"Wilson Jones 打孔机, 耐用",￥25,2015/9/16,中国,华北,呼和浩特,装订机,薛磊,40%,3,内蒙古,办公用品,消费者,CN-2015-5848215,2015/9/10,标准级,￥248
47%,1,惠普,"惠普 复印机, 数字化","￥2,135",2016/12/6,中国,华东,青岛,复印机,邱明,0%,4,山东,技术,公司,CN-2016-2052338,2016/12/2,标准级,"￥4,542"
6%,1,Wilson Jones,"Wilson Jones 订书机, 回收",￥27,2016/12/6,中国,华东,青岛,装订机,邱明,0%,2,山东,办公用品,公司,CN-2016-2052338,2016/12/2,标准级,￥460
50%,1,Ibico,"Ibico 装订机盖, 耐用",￥71,2016/12/6,中国,华东,青岛,装订机,邱明,0%,2,山东,办公用品,公司,CN-2016-2052338,2016/12/2,标准级,￥141
17%,1,Sauder,"Sauder 柜, 传统",￥264,2016/11/21,中国,华东,萍乡,书架,付芳茵,0%,2,江西,家具,小型企业,CN-2016-2295401,2016/11/19,二级,"￥1,556"
30%,1,Avery,"Avery 装订机盖, 透明",￥29,2016/11/21,中国,华东,萍乡,装订机,付芳茵,0%,2,江西,办公用品,小型企业,CN-2016-2295401,2016/11/19,二级,￥98
6%,1,Fiskars,"Fiskars 尺子, 蓝色",￥12,2016/11/21,中国,华东,萍乡,用品,付芳茵,0%,3,江西,办公用品,小型企业,CN-2016-2295401,2016/11/19,二级,￥202
47%,1,Eldon,"Eldon 锁柜, 单宽度",￥868,2016/7/23,中国,西南,开远,收纳具,陶聪,0%,2,云南,办公用品,消费者,CN-2016-3230180,2016/7/19,标准级,"￥1,847"
48%,1,Cardinal,"Cardinal 孔加固材料, 回收",￥64,2015/8/25,中国,中南,新乡,装订机,麦虹,0%,5,河南,办公用品,公司,CN-2015-4161431,2015/8/21,二级,￥133
10%,1,Harbour Creations,"Harbour Creations 沙滩椅, 每套两件",￥80,2015/8/25,中国,中南,新乡,椅子,麦虹,10%,3,河南,家具,公司,CN-2015-4161431,2015/8/21,二级,￥805
8%,1,Tenex,"Tenex 文件车, 蓝色",￥100,2016/9/16,中国,西北,西安,收纳具,唐安,0%,2,陕西,办公用品,消费者,CN-2016-5221522,2016/9/10,标准级,"￥1,252"
40%,1,摩托罗拉,"摩托罗拉 耳机, 混合尺寸","￥1,233",2016/9/16,中国,西北,西安,电话,唐安,0%,8,陕西,技术,消费者,CN-2016-5221522,2016/9/10,标准级,"￥3,083"
7%,1,Advantus,"Advantus 框架, 一包多件",￥62,2016/6/11,中国,西北,肃州,用具,潘惠,40%,3,甘肃,家具,消费者,US-2016-5247158,2016/6/6,标准级,￥934
43%,1,Cameo,"Cameo 商业信封, 红色",￥82,2016/6/11,中国,西北,肃州,信封,潘惠,0%,2,甘肃,办公用品,消费者,US-2016-5247158,2016/6/6,标准级,￥191
11%,1,Eaton,"Eaton 信纸, 多色",￥119,2016/6/11,中国,西北,肃州,纸张,潘惠,0%,5,甘肃,办公用品,消费者,US-2016-5247158,2016/6/6,标准级,"￥1,087"
14%,1,Ibico,"Ibico 孔加固材料, 透明",￥21,2016/6/25,中国,华东,莘县,装订机,沈强,0%,5,山东,办公用品,消费者,CN-2016-5250870,2016/6/20,标准级,￥151
-8%,1,Office Star,"Office Star 扶手椅, 红色",-￥546,2015/10/9,中国,华北,包头,椅子,贺丹,40%,5,内蒙古,家具,消费者,US-2015-1573785,2015/10/9,当日,"￥6,544"
36%,1,苹果,"苹果 音频基座, 蓝色",￥280,2014/12/2,中国,中南,长沙,电话,麦忠,0%,1,湖南,技术,消费者,CN-2014-2584532,2014/11/25,标准级,￥779
37%,1,Harbour Creations,"Harbour Creations 可去除的标签, 白色",￥142,2016/7/3,中国,东北,岭东,标签,曾惠,0%,8,黑龙江,办公用品,公司,CN-2016-3269021,2016/6/27,标准级,￥386
38%,1,Wilson Jones,"Wilson Jones 装订机盖, 耐用",￥22,2017/11/27,中国,中南,长沙,装订机,熊荣,0%,1,湖南,办公用品,消费者,US-2017-2204927,2017/11/27,当日,￥59
5%,1,GlobeWeis,"GlobeWeis 外皮和封条, 回收",￥9,2017/4/6,中国,华北,保定,信封,袁敬,0%,2,河北,办公用品,消费者,CN-2017-3664982,2017/3/31,标准级,￥188
14%,1,Fellowes,"Fellowes 盒, 金属",￥24,2017/4/6,中国,华北,保定,收纳具,袁敬,0%,2,河北,办公用品,消费者,CN-2017-3664982,2017/3/31,标准级,￥175
12%,1,OIC,"OIC 订书钉, 混合尺寸",￥25,2017/8/24,中国,中南,广州,系固件,余婵,0%,5,广东,办公用品,公司,CN-2017-5477816,2017/8/17,标准级,￥205
-22%,1,柯尼卡,"柯尼卡 电话, 红色",-￥152,2017/11/20,中国,华东,苏州,设备,柯婵,40%,3,江苏,技术,小型企业,US-2017-3025510,2017/11/18,二级,￥700
20%,1,Advantus,"Advantus 灯泡, 一包多件",￥75,2017/11/16,中国,华东,上海,用具,龚松,0%,4,上海,家具,小型企业,CN-2017-4493648,2017/11/10,标准级,￥376
27%,1,Office Star,"Office Star 凳子, 可调","￥1,777",2017/11/16,中国,华东,上海,椅子,龚松,0%,8,上海,家具,小型企业,CN-2017-4493648,2017/11/10,标准级,"￥6,587"
-20%,1,Deflect-O,"Deflect-O 闹钟, 黑色",-￥85,2017/12/29,中国,华东,兰溪,用具,马惠英,40%,3,浙江,家具,公司,US-2017-5726249,2017/12/24,标准级,￥423
-50%,1,Bevis,"Bevis 圆桌, 黑色","-￥6,771",2017/12/29,中国,华东,兰溪,桌子,马惠英,60%,14,浙江,家具,公司,US-2017-5726249,2017/12/24,标准级,"￥13,542"
-22%,1,OIC,"OIC 订书钉, 整包",-￥21,2017/12/29,中国,华东,兰溪,系固件,马惠英,40%,3,浙江,办公用品,公司,US-2017-5726249,2017/12/24,标准级,￥95
-52%,1,Stockwell,"Stockwell 订书钉, 每包 12 个",-￥100,2017/6/11,中国,西北,金昌,系固件,龙娜,40%,7,甘肃,办公用品,公司,US-2017-5895003,2017/6/8,二级,￥193
-55%,1,惠普,"惠普 无线传真机, 数字化",-￥554,2017/6/11,中国,西北,金昌,复印机,龙娜,40%,1,甘肃,技术,公司,US-2017-5895003,2017/6/8,二级,"￥1,008"
-15%,1,佳能,"佳能 个人复印机, 彩色",-￥121,2015/6/12,中国,华东,仙居,复印机,毛丽美,40%,2,浙江,技术,公司,US-2015-4590873,2015/6/8,标准级,￥807
38%,1,Brother,"Brother 传真复印机, 彩色","￥1,026",2016/6/7,中国,中南,信阳,复印机,巩达侠,0%,3,河南,技术,消费者,CN-2016-1122727,2016/6/5,一级,"￥2,701"
-8%,1,Ibico,"Ibico 装订机, 耐用",-￥16,2014/2/25,中国,华东,苏州,装订机,丁蔓楚,40%,4,江苏,办公用品,消费者,CN-2014-2686699,2014/2/20,标准级,￥190
33%,1,Cameo,"Cameo 局间信封, 银色",￥230,2014/2/25,中国,华东,苏州,信封,丁蔓楚,0%,3,江苏,办公用品,消费者,CN-2014-2686699,2014/2/20,标准级,￥698
-37%,1,冲电器,"冲电器 喷墨打印机, 多色",-￥323,2014/2/25,中国,华东,苏州,设备,丁蔓楚,40%,1,江苏,技术,消费者,CN-2014-2686699,2014/2/20,标准级,￥879
-315%,1,Binney & Smith,"Binney & Smith 钢笔, 整包",-￥216,2014/2/25,中国,华东,苏州,美术,丁蔓楚,80%,6,江苏,办公用品,消费者,CN-2014-2686699,2014/2/20,标准级,￥68
-23%,1,Safco,"SAFCO 凳子, 可调",-￥334,2014/2/25,中国,华东,苏州,椅子,丁蔓楚,40%,3,江苏,家具,消费者,CN-2014-2686699,2014/2/20,标准级,"￥1,432"
12%,1,Ames,"Ames 马尼拉纸信封, 每套 50 个",￥82,2017/8/1,中国,中南,襄樊,信封,吴磊,0%,6,湖北,办公用品,公司,CN-2017-2866628,2017/7/27,二级,￥691
-43%,1,Breville,"Breville 炉灶, 白色","-￥3,396",2017/8/1,中国,中南,襄樊,器具,吴磊,40%,5,湖北,办公用品,公司,CN-2017-2866628,2017/7/27,二级,"￥7,836"
-2%,1,Avery,"Avery 订书机, 透明",-￥5,2017/8/1,中国,中南,襄樊,装订机,吴磊,40%,2,湖北,办公用品,公司,CN-2017-2866628,2017/7/27,二级,￥270
4%,1,Rogers,"Rogers 盒, 单宽度",￥18,2016/11/5,中国,东北,本溪,收纳具,孟伟,0%,4,辽宁,办公用品,小型企业,CN-2016-4150128,2016/10/30,标准级,￥448
13%,1,Stockwell,"Stockwell 订书钉, 整包",￥12,2016/8/9,中国,东北,鞍山,系固件,雷菊,40%,3,辽宁,办公用品,消费者,CN-2016-2477297,2016/8/7,二级,￥91
34%,1,Smead,"Smead 盘, 工业",￥310,2016/8/9,中国,东北,鞍山,收纳具,雷菊,0%,4,辽宁,办公用品,消费者,CN-2016-2477297,2016/8/7,二级,￥914
-27%,1,罗技,"罗技 键盘, 实惠",-￥163,2016/8/9,中国,东北,鞍山,配件,雷菊,40%,3,辽宁,技术,消费者,CN-2016-2477297,2016/8/7,二级,￥609
2%,1,Jiffy,"Jiffy 局间信封, 回收",￥13,2015/8/19,中国,东北,凤城,信封,余嫒,0%,3,辽宁,办公用品,公司,CN-2015-1137701,2015/8/14,标准级,￥633
5%,1,Rubbermaid,"Rubvermaid 灯泡, 耐用",￥4,2015/8/19,中国,东北,凤城,用具,余嫒,40%,2,辽宁,家具,公司,CN-2015-1137701,2015/8/14,标准级,￥89
37%,1,Novimex,"Novimex 扶手椅, 可调",￥795,2016/8/23,中国,西南,重庆,椅子,范彩,0%,1,重庆,家具,公司,CN-2016-3988119,2016/8/21,二级,"￥2,149"
-24%,1,夏普,"夏普 复印机, 每套两件","-￥1,487",2016/8/23,中国,西南,重庆,复印机,范彩,20%,7,重庆,技术,公司,CN-2016-3988119,2016/8/21,二级,"￥6,256"
28%,1,Tenex,"Tenex 门挡, 耐用",￥107,2016/8/23,中国,西南,重庆,用具,范彩,0%,2,重庆,家具,公司,CN-2016-3988119,2016/8/21,二级,￥382
12%,1,Enermax,"Enermax 笔记本, 优质",￥48,2015/7/5,中国,东北,抚顺,纸张,薛健,0%,3,辽宁,办公用品,公司,CN-2015-4713954,2015/7/5,当日,￥399
44%,1,Smead,"Smead 盒, 单宽度",￥111,2017/6/10,中国,华东,景德镇,收纳具,徐黎明,0%,5,江西,办公用品,公司,CN-2017-4591322,2017/6/5,标准级,￥252
-60%,1,宜家,"宜家 书库, 黑色","-￥6,128",2017/12/17,中国,华东,常州,书架,冯立,40%,10,江苏,家具,消费者,CN-2017-1628412,2017/12/16,一级,"￥10,213"
-58%,1,Hon,"Hon 折叠椅, 黑色",-￥516,2017/12/17,中国,华东,常州,椅子,冯立,40%,4,江苏,家具,消费者,CN-2017-1628412,2017/12/16,一级,￥885
-57%,1,Kleencut,"Kleencut 开信刀, 钢",-￥211,2017/12/17,中国,华东,常州,用品,冯立,40%,5,江苏,办公用品,消费者,CN-2017-1628412,2017/12/16,一级,￥370
-58%,1,Rubbermaid,"Rubvermaid 分层置放架, 一包多件",-￥288,2015/6/5,中国,西南,乐山,用具,徐谙,40%,7,四川,家具,消费者,CN-2015-5873075,2015/6/1,标准级,￥494
43%,1,Acme,"Acme 开信刀, 锯齿状",￥216,2016/7/4,中国,中南,广州,用品,佘凤,0%,4,广东,办公用品,公司,CN-2016-3509971,2016/6/28,标准级,￥502
38%,1,贝尔金,"贝尔金 记忆卡, 实惠",￥407,2015/10/5,中国,西北,西安,配件,陈霖,0%,2,陕西,技术,消费者,CN-2015-3378788,2015/10/2,二级,"￥1,072"
-5%,1,思科,"思科 充电器, 整包",-￥183,2017/10/9,中国,华东,徐州,电话,田谙,40%,2,江苏,技术,消费者,US-2017-1136628,2017/10/5,标准级,"￥3,648"
-29%,1,Advantus,"Advantus 回形针, 整包",-￥34,2017/10/9,中国,华东,徐州,系固件,田谙,40%,3,江苏,办公用品,消费者,US-2017-1136628,2017/10/5,标准级,￥117
10%,1,Stiletto,"Stiletto 剪刀, 工业",￥7,2017/10/9,中国,华东,徐州,用品,田谙,40%,1,江苏,办公用品,消费者,US-2017-1136628,2017/10/5,标准级,￥71
-8%,1,KitchenAid,"KitchenAid 烤面包机, 黑色",-￥80,2014/11/18,中国,华东,常熟市,器具,蔡安,40%,4,江苏,办公用品,消费者,US-2014-2578637,2014/11/16,一级,￥949
-37%,1,Safco,"Safco 搁架, 黑色",-￥407,2014/11/18,中国,华东,常熟市,书架,蔡安,40%,2,江苏,家具,消费者,US-2014-2578637,2014/11/16,一级,"￥1,109"
12%,1,Enermax,"Enermax 笔记本, 优质",￥64,2014/11/18,中国,华东,常熟市,纸张,蔡安,0%,4,江苏,办公用品,消费者,US-2014-2578637,2014/11/16,一级,￥532
-345%,1,Binney & Smith,"Binney & Smith 记号笔, 蓝色",-￥233,2014/11/18,中国,华东,常熟市,美术,蔡安,80%,3,江苏,办公用品,消费者,US-2014-2578637,2014/11/16,一级,￥67
18%,1,Ibico,"Ibico 打孔机, 回收",￥206,2015/4/7,中国,华北,太原,装订机,任婵娟,0%,8,山西,办公用品,公司,CN-2015-3133210,2015/4/1,标准级,"￥1,150"
47%,1,佳能,"佳能 墨水, 数字化","￥2,575",2015/4/7,中国,华北,太原,复印机,任婵娟,0%,8,山西,技术,公司,CN-2015-3133210,2015/4/1,标准级,"￥5,480"
-43%,1,Harbour Creations,"Harbour Creations 折叠椅, 黑色",-￥348,2017/5/10,中国,华东,淮阴,椅子,白欢,40%,3,江苏,家具,小型企业,CN-2017-1753680,2017/5/5,标准级,￥802
-57%,1,Enermax,"Enermax 鼠标, 可编程",-￥929,2017/5/10,中国,华东,淮阴,配件,白欢,40%,14,江苏,技术,小型企业,CN-2017-1753680,2017/5/5,标准级,"￥1,638"
-32%,1,Stiletto,"Stiletto 尺子, 工业",-￥74,2017/5/10,中国,华东,淮阴,用品,白欢,40%,5,江苏,办公用品,小型企业,CN-2017-1753680,2017/5/5,标准级,￥231
-30%,1,Tenex,"Tenex 闹钟, 耐用",-￥80,2017/5/10,中国,华东,淮阴,用具,白欢,40%,2,江苏,家具,小型企业,CN-2017-1753680,2017/5/5,标准级,￥265
-47%,1,Stockwell,"Stockwell 橡皮筋, 整包",-￥64,2014/1/13,中国,东北,抚顺,系固件,常光,40%,3,辽宁,办公用品,公司,US-2014-1498954,2014/1/9,标准级,￥136
-35%,1,苹果,"苹果 音频基座, 整包","-￥1,473",2014/1/13,中国,东北,抚顺,电话,常光,40%,9,辽宁,技术,公司,US-2014-1498954,2014/1/9,标准级,"￥4,208"
13%,1,Hoover,"Hoover 微波炉, 黑色",￥560,2018/1/4,中国,中南,揭阳,器具,田谙,0%,3,广东,办公用品,消费者,CN-2017-4164715,2017/12/30,标准级,"￥4,313"
41%,1,Hewlett,"Hewlett 墨水, 红色",￥562,2016/6/22,中国,西北,铜川,复印机,邵兰,0%,2,陕西,技术,消费者,CN-2016-5404138,2016/6/20,一级,"￥1,371"
20%,1,Cardinal,"Cardinal 打孔机, 回收",￥54,2016/6/22,中国,西北,铜川,装订机,邵兰,0%,2,陕西,办公用品,消费者,CN-2016-5404138,2016/6/20,一级,￥272
39%,1,Brother,"Brother 复印机, 每套两件","￥2,386",2017/10/17,中国,中南,晋江,复印机,田谙,0%,5,海南,技术,消费者,CN-2017-1900344,2017/10/15,一级,"￥6,120"
28%,1,SanDisk,"SanDisk 令, 优质",￥156,2015/8/13,中国,华东,合肥,纸张,邓达侠,0%,4,安徽,办公用品,消费者,CN-2015-5468349,2015/8/7,标准级,￥556
16%,1,Harbour Creations,"Harbour Creations 沙滩椅, 黑色",￥132,2015/8/13,中国,华东,合肥,椅子,邓达侠,0%,3,安徽,家具,消费者,CN-2015-5468349,2015/8/7,标准级,￥829
1%,1,夏普,"夏普 无线传真机, 彩色",￥100,2015/8/13,中国,华东,合肥,复印机,邓达侠,0%,6,安徽,技术,消费者,CN-2015-5468349,2015/8/7,标准级,"￥10,006"
35%,1,Fellowes,"Fellowes 文件夹, 单宽度",￥129,2015/8/13,中国,华东,合肥,收纳具,邓达侠,0%,3,安徽,办公用品,消费者,CN-2015-5468349,2015/8/7,标准级,￥370
6%,1,GlobeWeis,"GlobeWeis 邮寄品, 银色",￥45,2015/8/13,中国,华东,合肥,信封,邓达侠,0%,4,安徽,办公用品,消费者,CN-2015-5468349,2015/8/7,标准级,￥764
-1%,1,BIC,"BIC 荧光笔, 蓝色",-￥1,2017/12/22,中国,中南,浯溪,美术,田妮,20%,1,湖南,办公用品,小型企业,US-2017-5578438,2017/12/16,标准级,￥71
14%,1,Harbour Creations,"Harbour Creations 文件夹标签, 可调",￥8,2014/5/30,中国,中南,化州,标签,常黎明,0%,2,广东,办公用品,消费者,CN-2014-1826929,2014/5/24,标准级,￥62
35%,1,Rogers,"Rogers 锁柜, 工业","￥1,039",2016/10/5,中国,华北,太原,收纳具,洪强,0%,3,山西,办公用品,公司,CN-2016-1340062,2016/9/30,标准级,"￥2,969"
50%,1,Bush,"Bush 搁架, 金属","￥1,992",2014/12/24,中国,华东,兖州,书架,段杰,0%,5,山东,家具,公司,CN-2014-1658434,2014/12/21,一级,"￥3,984"
8%,1,Novimex,"Novimex 凳子, 红色",￥184,2015/11/12,中国,华东,上海,椅子,肖保,0%,3,上海,家具,消费者,CN-2015-4078386,2015/11/5,标准级,"￥2,302"
38%,1,施乐,"施乐 笔记本, 回收",￥139,2015/11/12,中国,华东,上海,纸张,肖保,0%,3,上海,办公用品,消费者,CN-2015-4078386,2015/11/5,标准级,￥368
37%,1,Hon,"Hon 有色标签, 耐用",￥181,2015/5/14,中国,中南,浯溪,标签,常明媚,0%,8,湖南,办公用品,消费者,CN-2015-3216455,2015/5/10,标准级,￥493
